# Time(s), X(km), Y(km), Z(km), VX(km/s), VY(km/s), VZ(km/s)
        0.000000, 100000.000000000015,  50000.000000000007,  20000.000000000000,      1.500000000000,      2.500000000000,      0.500000000000
      864.000000, 101285.995427980830,  52154.940155219752,  20429.989565949851,      1.477009317986,      2.488315438777,      0.495373435414
     3370.093621, 104909.051405151520,  58349.343173474183,  21655.459197991622,      1.415639161371,      2.455405303356,      0.482825604870
     5856.735797, 108360.708248269788,  64416.001667207107,  22841.796336567055,      1.361554144857,      2.424242671982,      0.471518759950
     8508.661596, 111901.980178874874,  70802.655038910161,  24077.449186345799,      1.310154855525,      2.392653319944,      0.460546043112
    11331.485168, 115530.227562546279,  77511.366435800068,  25362.267568150583,      1.261441701292,      2.360844697308,      0.449931324145
    14331.485168, 119244.101168052322,  84545.637966605718,  26696.449643475597,      1.215370992428,      2.328995863648,      0.439688936083
    17331.485168, 122827.394911970900,  91487.233542485614,  28001.324086471177,      1.174247961932,      2.299038748838,      0.430370323545
    20331.485168, 126293.774505723632,  98341.628817782868,  29279.471264479937,      1.137315304312,      2.270840059800,      0.421852084848
    23331.485168, 129654.861678822461, 105113.900390932919,  30533.133981393992,      1.103961309065,      2.244268071179,      0.414031787468
    26331.485168, 132920.619027011096, 111808.737998514698,  31764.273825159853,      1.073686894178,      2.219197114965,      0.406823773844
    29331.485168, 136099.649350187508, 118430.466351672323,  32974.616407216141,      1.046081090403,      2.195509733367,      0.400155906801
    32331.485168, 139199.431030338455, 124983.071235536423,  34165.687956257498,      1.020802588619,      2.173097492939,      0.393967027737
    35331.485168, 142226.505002799386, 131470.226809256827,  35338.845137228280,      0.997565691717,      2.151861044357,      0.388204957537
    38331.485168, 145186.624684172886, 137895.322405037383,  36495.299523675698,      0.976129504589,      2.131709771984,      0.382824912972
    41331.485168, 148084.877256570122, 144261.487926566711,  37636.137820058619,      0.956289531888,      2.112561236061,      0.377788243217
    44331.485168, 150925.782586341025, 150571.617418892478,  38762.338681573630,      0.937871085524,      2.094340526314,      0.373061414656
    47331.485168, 153713.374519235513, 156828.390656413627,  39874.786791080711,      0.920724066281,      2.076979595534,      0.368615189611
    50331.485168, 156451.268169216346, 163034.292752117355,  40974.284709986801,      0.904718798858,      2.060416611422,      0.364423957573
    53331.485168, 159142.715986037627, 169191.631876638159,  42061.562910890549,      0.889742681775,      2.044595346912,      0.360465187184
    56331.485168, 161790.654764935287, 175302.555218638299,  43137.288315912439,      0.875697473041,      2.029464618328,      0.356718974465
    59331.485168, 164397.745292787324, 181369.063335699640,  44202.071599688061,      0.862497075799,      2.014977774365,      0.353167668238
    62331.485168, 166966.405968185427, 187393.023047937400,  45256.473465382856,      0.850065720182,      2.001092235278,      0.349795557854
    65331.485168, 169498.841458933952, 193376.179021333432,  46301.010062377121,      0.838336461386,      1.987769079632,      0.346588611518
    68331.485168, 171997.067248574429, 199320.164178262377,  47336.157682922421,      0.827249931833,      1.974972675035,      0.343534255904
    71331.485168, 174462.930758341943, 205226.509061207122,  48362.356850171644,      0.816753298804,      1.962670348859,      0.340621189687
    74331.485168, 176898.129601266439, 211096.650263630698,  49380.015890092203,      0.806799389239,      1.950832094965,      0.337839225051
    77331.485168, 179304.227422612166, 216931.938030188147,  50389.514063787312,      0.797345951322,      1.939430312590,      0.335179152405
    80331.485168, 181682.667699285230, 222733.643117362168,  51391.204323835998,      0.788355028604,      1.928439573840,      0.332632624436
    83331.485168, 184034.785805549414, 228502.962995398091,  52385.415747774190,      0.779792427179,      1.917836416548,      0.330192056339
    86331.485168, 186361.819599821174, 234241.027463174018,  53372.455693277625,      0.771627260206,      1.907599159582,      0.327850539668
    86400.000000, 186414.681273845199, 234371.718429527216,  53394.916523582004,      0.771445198382,      1.907369471005,      0.327798169627
